x,y,H,S,V
25.5,52.5,23,51,118
25.5,53.5,24,51,119
25.5,54.5,25,54,116
25.5,55.5,24,69,114
25.5,56.5,24,61,121
25.5,57.5,23,42,121
25.5,58.5,24,28,127
25.5,59.5,22,34,127
25.5,60.5,24,43,123
25.5,61.5,22,33,129
25.5,62.5,24,27,130
25.5,63.5,22,42,114
25.5,64.5,24,43,112
25.5,65.5,25,47,108
25.5,66.5,25,37,122
25.5,67.5,25,39,128
25.5,68.5,25,41,124
25.5,69.5,25,46,120
25.5,70.5,18,17,135
25.5,71.5,21,18,136
25.5,72.5,27,31,136
25.5,73.5,24,36,131
25.5,74.5,18,19,119
25.5,75.5,8,12,99
25.5,76.5,10,10,97
25.5,77.5,233,4,108
25.5,78.5,184,6,115
25.5,79.5,162,11,128
25.5,80.5,155,17,132
25.5,81.5,155,6,117
25.5,82.5,161,13,98
25.5,83.5,152,12,103
25.5,84.5,153,26,125
25.5,85.5,154,16,123
25.5,86.5,170,6,113
25.5,87.5,170,7,103
25.5,88.5,157,15,115
25.5,89.5,156,36,133
26.5,0.5,19,101,131
26.5,1.5,17,109,105
26.5,2.5,15,107,90
26.5,3.5,15,109,93
26.5,4.5,17,122,102
26.5,5.5,17,113,108
26.5,6.5,18,111,105
26.5,7.5,14,113,90
26.5,8.5,14,100,112
26.5,9.5,15,96,111
26.5,10.5,15,108,113
26.5,11.5,14,100,114
26.5,12.5,14,101,111
26.5,13.5,15,109,112
26.5,14.5,14,102,119
26.5,15.5,13,100,124
26.5,16.5,15,108,124
26.5,17.5,15,112,127
26.5,18.5,16,95,133
26.5,19.5,17,110,129
26.5,20.5,16,114,129
26.5,21.5,16,103,131
26.5,22.5,19,85,132
26.5,23.5,23,65,132
26.5,24.5,22,84,121
26.5,25.5,18,110,104
26.5,26.5,19,98,114
26.5,27.5,20,106,120
26.5,28.5,22,89,120
26.5,29.5,20,81,110
26.5,30.5,18,80,101
26.5,31.5,17,86,91
26.5,32.5,19,75,98
26.5,33.5,20,47,102
26.5,34.5,17,48,100
26.5,35.5,18,57,102
26.5,36.5,20,58,101
26.5,37.5,24,47,113
26.5,38.5,27,39,109
26.5,39.5,22,45,106
26.5,40.5,24,47,112
26.5,41.5,26,48,111
26.5,42.5,25,48,106
26.5,43.5,24,47,103
26.5,44.5,21,40,100
26.5,45.5,20,48,99
26.5,46.5,21,56,100
26.5,47.5,20,56,113
26.5,48.5,25,58,117
26.5,49.5,24,33,129
26.5,50.5,21,29,121
26.5,51.5,24,34,127
26.5,52.5,23,35,129
26.5,53.5,24,37,129
26.5,54.5,25,47,123
26.5,55.5,27,68,116
26.5,56.5,25,72,113
26.5,57.5,22,39,122
26.5,58.5,21,27,128
26.5,59.5,24,38,127
26.5,60.5,23,36,127
26.5,61.5,22,29,130
26.5,62.5,21,38,120
26.5,63.5,23,49,114
26.5,64.5,23,37,122
26.5,65.5,23,32,124
26.5,66.5,24,38,127
26.5,67.5,24,44,120
26.5,68.5,24,44,110
26.5,69.5,24,41,116
26.5,70.5,21,18,135
26.5,71.5,24,26,134
26.5,72.5,26,37,129
26.5,73.5,23,36,127
26.5,74.5,21,32,109
26.5,75.5,17,34,90
26.5,76.5,0,7,103
26.5,77.5,0,10,101
26.5,78.5,0,4,104
26.5,79.5,170,8,126
26.5,80.5,159,8,122
26.5,81.5,191,4,111
26.5,82.5,184,7,107
26.5,83.5,191,4,108
26.5,84.5,155,6,115
26.5,85.5,170,2,113
26.5,86.5,170,4,112
26.5,87.5,170,6,111
26.5,88.5,157,14,122
26.5,89.5,152,36,138
27.5,0.5,18,92,130
27.5,1.5,18,113,103
27.5,2.5,15,114,96
27.5,3.5,16,120,95
27.5,4.5,15,121,101
27.5,5.5,17,126,107
27.5,6.5,17,126,111
27.5,7.5,16,124,113
27.5,8.5,15,103,116
27.5,9.5,16,107,112
27.5,10.5,15,114,116
27.5,11.5,16,115,110
27.5,12.5,16,115,102
27.5,13.5,15,114,109
27.5,14.5,16,104,115
27.5,15.5,15,106,122
27.5,16.5,16,118,125
27.5,17.5,15,119,126
27.5,18.5,15,105,131
27.5,19.5,16,105,130
27.5,20.5,17,115,132
27.5,21.5,18,107,133
27.5,22.5,19,98,129
27.5,23.5,19,98,127
27.5,24.5,20,101,113
27.5,25.5,19,103,99
27.5,26.5,20,88,115
27.5,27.5,21,88,113
27.5,28.5,23,78,94
27.5,29.5,23,63,96
27.5,30.5,19,77,95
27.5,31.5,19,90,90
27.5,32.5,19,74,89
27.5,33.5,23,60,105
27.5,34.5,22,51,114
27.5,35.5,18,47,113
27.5,36.5,16,35,108
27.5,37.5,19,32,116
27.5,38.5,23,49,113
27.5,39.5,23,54,118
27.5,40.5,23,54,118
27.5,41.5,24,50,117
27.5,42.5,26,50,107
27.5,43.5,25,40,112
27.5,44.5,28,35,107
27.5,45.5,25,39,96
27.5,46.5,21,48,95
27.5,47.5,21,53,105
27.5,48.5,22,50,117
27.5,49.5,23,35,128
27.5,50.5,22,29,130
27.5,51.5,26,37,128
27.5,52.5,24,32,132
27.5,53.5,25,46,121
27.5,54.5,23,61,112
27.5,55.5,24,63,112
27.5,56.5,24,50,116
27.5,57.5,23,36,126
27.5,58.5,22,28,132
27.5,59.5,23,31,128
27.5,60.5,23,31,128
27.5,61.5,21,23,133
27.5,62.5,23,33,123
27.5,63.5,24,42,125
27.5,64.5,24,44,121
27.5,65.5,21,50,112
27.5,66.5,23,47,119
27.5,67.5,24,49,118
27.5,68.5,24,52,117
27.5,69.5,24,38,126
27.5,70.5,21,19,134
27.5,71.5,22,30,126
27.5,72.5,22,32,133
27.5,73.5,22,25,132
27.5,74.5,21,24,106
27.5,75.5,14,27,85
27.5,76.5,16,13,93
27.5,77.5,24,18,95
27.5,78.5,14,15,100
27.5,79.5,212,2,110
27.5,80.5,170,6,121
27.5,81.5,170,8,126
27.5,82.5,212,2,108
27.5,83.5,212,2,107
27.5,84.5,212,2,113
27.5,85.5,212,2,113
27.5,86.5,0,2,112
27.5,87.5,191,4,111
27.5,88.5,155,18,125
27.5,89.5,154,30,134
28.5,0.5,16,104,115
28.5,1.5,17,116,101
28.5,2.5,16,113,101
28.5,3.5,16,117,106
28.5,4.5,16,113,110
28.5,5.5,18,115,108
28.5,6.5,16,127,106
28.5,7.5,16,115,117
28.5,8.5,16,110,122
28.5,9.5,18,116,120
28.5,10.5,17,110,118
28.5,11.5,17,119,111
28.5,12.5,17,121,111
28.5,13.5,15,110,118
28.5,14.5,15,102,120
28.5,15.5,16,110,120
28.5,16.5,17,106,122
28.5,17.5,15,109,121
28.5,18.5,15,103,131
28.5,19.5,18,97,141
28.5,20.5,18,93,128
28.5,21.5,20,90,124
28.5,22.5,22,78,134
28.5,23.5,22,92,130
28.5,24.5,18,117,113
28.5,25.5,18,95,107
28.5,26.5,19,88,110
28.5,27.5,21,75,101
28.5,28.5,22,70,91
28.5,29.5,21,74,103
28.5,30.5,18,93,82
28.5,31.5,19,97,84
28.5,32.5,18,72,88
28.5,33.5,21,61,99
28.5,34.5,22,53,110
28.5,35.5,22,53,109
28.5,36.5,20,47,112
28.5,37.5,21,35,114
28.5,38.5,22,42,114
28.5,39.5,24,45,118
28.5,40.5,22,46,114
28.5,41.5,22,41,116
28.5,42.5,24,47,112
28.5,43.5,25,48,115
28.5,44.5,24,42,114
28.5,45.5,24,43,111
28.5,46.5,23,42,109
28.5,47.5,22,42,114
28.5,48.5,23,56,112
28.5,49.5,21,53,115
28.5,50.5,24,48,120
28.5,51.5,23,31,131
28.5,52.5,23,31,130
28.5,53.5,24,54,113
28.5,54.5,24,62,106
28.5,55.5,23,58,117
28.5,56.5,23,45,124
28.5,57.5,19,34,124
28.5,58.5,19,21,131
28.5,59.5,21,23,130
28.5,60.5,24,23,129
28.5,61.5,16,19,132
28.5,62.5,22,29,131
28.5,63.5,21,32,127
28.5,64.5,21,31,129
28.5,65.5,23,43,117
28.5,66.5,24,49,118
28.5,67.5,20,52,111
28.5,68.5,21,53,115
28.5,69.5,25,46,120
28.5,70.5,22,29,113
28.5,71.5,16,26,96
28.5,72.5,26,29,114
28.5,73.5,19,23,119
28.5,74.5,10,10,97
28.5,75.5,0,12,85
28.5,76.5,18,18,95
28.5,77.5,10,9,107
28.5,78.5,12,16,107
28.5,79.5,16,12,106
28.5,80.5,170,2,120
28.5,81.5,155,11,132
28.5,82.5,21,4,106
28.5,83.5,42,2,105
28.5,84.5,148,4,119
28.5,85.5,170,4,118
28.5,86.5,170,6,110
28.5,87.5,155,6,114
28.5,88.5,150,21,129
28.5,89.5,155,23,129
29.5,0.5,17,104,120
29.5,1.5,15,115,106
29.5,2.5,16,119,109
29.5,3.5,16,114,111
29.5,4.5,16,108,110
29.5,5.5,17,107,107
29.5,6.5,16,118,108
29.5,7.5,16,113,112
29.5,8.5,17,113,115
29.5,9.5,17,111,121
29.5,10.5,18,114,123
29.5,11.5,18,113,124
29.5,12.5,19,111,133
29.5,13.5,19,106,132
29.5,14.5,17,100,130
29.5,15.5,19,102,120
29.5,16.5,21,86,112
29.5,17.5,16,94,121
29.5,18.5,15,95,131
29.5,19.5,20,68,141
29.5,20.5,19,87,117
29.5,21.5,20,76,120
29.5,22.5,21,75,119
29.5,23.5,22,69,124
29.5,24.5,20,98,114
29.5,25.5,17,97,118
29.5,26.5,18,96,116
29.5,27.5,18,89,100
29.5,28.5,21,76,87
29.5,29.5,21,63,88
29.5,30.5,19,80,63
29.5,31.5,19,93,76
29.5,32.5,21,78,85
29.5,33.5,20,63,109
29.5,34.5,18,54,118
29.5,35.5,23,47,118
29.5,36.5,24,56,118
29.5,37.5,20,49,109
29.5,38.5,18,41,111
29.5,39.5,15,22,126
29.5,40.5,6,13,130
29.5,41.5,7,12,123
29.5,42.5,24,41,117
29.5,43.5,23,43,118
29.5,44.5,22,49,108
29.5,45.5,23,54,103
29.5,46.5,21,50,111
29.5,47.5,24,40,121
29.5,48.5,22,44,108
29.5,49.5,22,39,110
29.5,50.5,25,47,117
29.5,51.5,25,35,130
29.5,52.5,24,37,129
29.5,53.5,24,44,121
29.5,54.5,23,43,116
29.5,55.5,25,45,123
29.5,56.5,22,33,128
29.5,57.5,21,31,128
29.5,58.5,15,15,131
29.5,59.5,15,15,134
29.5,60.5,23,21,133
29.5,61.5,21,32,127
29.5,62.5,23,35,130
29.5,63.5,21,35,131
29.5,64.5,19,25,132
29.5,65.5,25,30,127
29.5,66.5,22,42,115
29.5,67.5,16,36,105
29.5,68.5,19,35,107
29.5,69.5,19,25,111
29.5,70.5,8,12,103
29.5,71.5,21,17,87
29.5,72.5,21,30,99
29.5,73.5,21,24,105
29.5,74.5,15,21,93
29.5,75.5,15,23,87
29.5,76.5,12,18,97
29.5,77.5,21,19,105
29.5,78.5,21,26,96
29.5,79.5,0,4,112
29.5,80.5,157,13,137
29.5,81.5,170,8,126
29.5,82.5,0,0,112
29.5,83.5,148,4,116
29.5,84.5,170,4,119
29.5,85.5,170,4,119
29.5,86.5,152,11,110
29.5,87.5,141,6,114
29.5,88.5,150,21,131
29.5,89.5,154,21,130
30.5,0.5,17,102,119
30.5,1.5,15,112,104
30.5,2.5,15,115,104
30.5,3.5,16,119,111
30.5,4.5,16,115,108
30.5,5.5,16,115,110
30.5,6.5,15,102,109
30.5,7.5,16,98,111
30.5,8.5,16,105,111
30.5,9.5,17,112,118
30.5,10.5,17,120,121
30.5,11.5,19,101,128
30.5,12.5,20,95,136
30.5,13.5,23,85,144
30.5,14.5,23,75,142
30.5,15.5,20,82,121
30.5,16.5,19,98,101
30.5,17.5,17,109,121
30.5,18.5,16,92,133
30.5,19.5,20,66,139
30.5,20.5,19,72,105
30.5,21.5,18,85,99
30.5,22.5,19,80,101
30.5,23.5,17,66,99
30.5,24.5,20,86,118
30.5,25.5,18,92,118
30.5,26.5,18,89,114
30.5,27.5,18,87,99
30.5,28.5,20,72,102
30.5,29.5,21,65,94
30.5,30.5,19,76,67
30.5,31.5,17,113,65
30.5,32.5,19,93,82
30.5,33.5,21,61,107
30.5,34.5,19,60,118
30.5,35.5,22,55,123
30.5,36.5,23,67,121
30.5,37.5,21,79,115
30.5,38.5,19,58,114
30.5,39.5,16,19,128
30.5,40.5,226,5,128
30.5,41.5,7,13,115
30.5,42.5,22,61,104
30.5,43.5,21,61,108
30.5,44.5,23,43,116
30.5,45.5,23,51,108
30.5,46.5,19,56,100
30.5,47.5,18,42,108
30.5,48.5,22,46,115
30.5,49.5,22,50,116
30.5,50.5,21,52,116
30.5,51.5,22,33,131
30.5,52.5,24,37,128
30.5,53.5,26,57,116
30.5,54.5,22,43,123
30.5,55.5,22,24,136
30.5,56.5,25,39,128
30.5,57.5,26,44,121
30.5,58.5,21,30,132
30.5,59.5,21,26,133
30.5,60.5,24,38,127
30.5,61.5,25,46,121
30.5,62.5,24,46,126
30.5,63.5,23,32,127
30.5,64.5,23,31,130
30.5,65.5,23,21,131
30.5,66.5,21,25,122
30.5,67.5,17,26,116
30.5,68.5,18,14,125
30.5,69.5,18,15,119
30.5,70.5,8,11,111
30.5,71.5,14,8,91
30.5,72.5,18,19,92
30.5,73.5,18,23,96
30.5,74.5,15,24,84
30.5,75.5,240,9,78
30.5,76.5,7,20,76
30.5,77.5,18,59,77
30.5,78.5,18,56,81
30.5,79.5,21,24,103
30.5,80.5,161,10,125
30.5,81.5,170,10,123
30.5,82.5,170,4,117
30.5,83.5,148,8,117
30.5,84.5,148,4,114
30.5,85.5,148,4,118
30.5,86.5,161,10,117
30.5,87.5,159,8,119
30.5,88.5,155,18,127
30.5,89.5,159,16,123
31.5,0.5,16,98,116
31.5,1.5,16,112,116
31.5,2.5,15,113,106
31.5,3.5,15,111,101
31.5,4.5,16,110,99
31.5,5.5,17,120,108
31.5,6.5,16,114,114
31.5,7.5,15,115,113
31.5,8.5,16,114,111
31.5,9.5,16,120,112
31.5,10.5,14,116,112
31.5,11.5,16,108,118
31.5,12.5,17,117,126
31.5,13.5,20,104,132
31.5,14.5,23,75,136
31.5,15.5,21,73,132
31.5,16.5,18,100,109
31.5,17.5,16,109,123
31.5,18.5,17,98,134
31.5,19.5,18,88,136
31.5,20.5,19,88,127
31.5,21.5,20,93,114
31.5,22.5,20,98,111
31.5,23.5,18,101,108
31.5,24.5,18,101,126
31.5,25.5,17,90,121
31.5,26.5,19,86,118
31.5,27.5,18,108,106
31.5,28.5,19,110,102
31.5,29.5,20,101,108
31.5,30.5,21,87,76
31.5,31.5,18,107,64
31.5,32.5,20,89,94
31.5,33.5,21,68,111
31.5,34.5,19,73,111
31.5,35.5,21,81,113
31.5,36.5,21,78,113
31.5,37.5,21,81,116
31.5,38.5,21,75,119
31.5,39.5,22,63,120
31.5,40.5,23,51,119
31.5,41.5,23,49,114
31.5,42.5,22,66,99
31.5,43.5,22,67,106
31.5,44.5,22,61,108
31.5,45.5,22,65,105
31.5,46.5,21,58,113
31.5,47.5,22,46,115
31.5,48.5,23,47,119
31.5,49.5,21,51,118
31.5,50.5,22,55,124
31.5,51.5,21,38,131
31.5,52.5,23,39,128
31.5,53.5,25,42,119
31.5,54.5,22,44,120
31.5,55.5,25,44,127
31.5,56.5,26,42,127
31.5,57.5,23,37,124
31.5,58.5,26,42,126
31.5,59.5,25,45,124
31.5,60.5,24,49,123
31.5,61.5,26,55,119
31.5,62.5,24,46,127
31.5,63.5,21,26,135
31.5,64.5,24,26,137
31.5,65.5,21,18,139
31.5,66.5,19,25,132
31.5,67.5,21,30,116
31.5,68.5,19,29,113
31.5,69.5,17,28,107
31.5,70.5,21,20,99
31.5,71.5,16,13,92
31.5,72.5,10,10,94
31.5,73.5,10,10,94
31.5,74.5,10,24,82
31.5,75.5,8,13,92
31.5,76.5,233,6,77
31.5,77.5,14,35,65
31.5,78.5,16,43,77
31.5,79.5,14,22,101
31.5,80.5,180,8,114
31.5,81.5,180,8,116
31.5,82.5,191,4,112
31.5,83.5,170,2,118
31.5,84.5,170,7,109
31.5,85.5,170,6,112
31.5,86.5,170,10,121
31.5,87.5,170,4,117
31.5,88.5,152,10,118
31.5,89.5,163,15,119
32.5,0.5,15,105,114
32.5,1.5,19,111,126
32.5,2.5,19,112,120
32.5,3.5,15,118,95
32.5,4.5,15,117,100
32.5,5.5,16,115,108
32.5,6.5,18,114,118
32.5,7.5,16,120,119
32.5,8.5,16,124,113
32.5,9.5,15,121,113
32.5,10.5,16,114,118
32.5,11.5,16,108,118
32.5,12.5,17,120,127
32.5,13.5,19,116,127
32.5,14.5,18,103,130
32.5,15.5,18,105,135
32.5,16.5,19,99,131
32.5,17.5,18,87,137
32.5,18.5,16,99,126
32.5,19.5,17,100,130
32.5,20.5,17,98,130
32.5,21.5,18,92,124
32.5,22.5,20,95,118
32.5,23.5,18,104,117
32.5,24.5,19,103,128
32.5,25.5,19,101,121
32.5,26.5,18,97,120
32.5,27.5,20,106,115
32.5,28.5,18,123,107
32.5,29.5,19,109,112
32.5,30.5,19,93,93
32.5,31.5,19,102,82
32.5,32.5,19,76,107
32.5,33.5,23,50,122
32.5,34.5,21,64,122
32.5,35.5,21,72,119
32.5,36.5,21,73,122
32.5,37.5,21,73,122
32.5,38.5,23,70,126
32.5,39.5,22,76,126
32.5,40.5,21,72,123
32.5,41.5,21,58,122
32.5,42.5,24,58,114
32.5,43.5,23,51,109
32.5,44.5,20,53,110
32.5,45.5,22,61,117
32.5,46.5,22,60,113
32.5,47.5,21,68,111
32.5,48.5,22,60,118
32.5,49.5,23,38,134
32.5,50.5,22,45,129
32.5,51.5,22,55,123
32.5,52.5,22,55,120
32.5,53.5,24,45,128
32.5,54.5,23,35,128
32.5,55.5,22,58,117
32.5,56.5,25,45,124
32.5,57.5,25,28,133
32.5,58.5,23,31,131
32.5,59.5,24,51,118
32.5,60.5,23,40,126
32.5,61.5,24,37,128
32.5,62.5,25,43,128
32.5,63.5,26,47,130
32.5,64.5,26,36,133
32.5,65.5,24,36,132
32.5,66.5,22,29,128
32.5,67.5,16,27,121
32.5,68.5,17,27,113
32.5,69.5,21,27,110
32.5,70.5,18,17,103
32.5,71.5,18,19,93
32.5,72.5,7,15,99
32.5,73.5,8,12,100
32.5,74.5,10,22,92
32.5,75.5,16,14,90
32.5,76.5,212,2,87
32.5,77.5,212,6,82
32.5,78.5,8,13,94
32.5,79.5,157,14,121
32.5,80.5,162,21,130
32.5,81.5,198,6,116
32.5,82.5,0,4,114
32.5,83.5,184,6,119
32.5,84.5,155,6,114
32.5,85.5,170,6,112
32.5,86.5,162,12,123
32.5,87.5,170,8,119
32.5,88.5,159,9,111
32.5,89.5,170,6,112
33.5,0.5,16,112,111
33.5,1.5,18,109,123
33.5,2.5,18,120,125
33.5,3.5,15,117,111
33.5,4.5,14,116,109
33.5,5.5,15,111,112
33.5,6.5,17,113,115
33.5,7.5,17,122,119
33.5,8.5,15,124,115
33.5,9.5,15,118,114
33.5,10.5,18,109,126
33.5,11.5,19,114,129
33.5,12.5,18,114,131
33.5,13.5,20,122,131
33.5,14.5,17,125,122
33.5,15.5,17,133,118
33.5,16.5,17,126,125
33.5,17.5,17,109,126
33.5,18.5,15,111,124
33.5,19.5,18,102,130
33.5,20.5,18,105,130
33.5,21.5,17,108,129
33.5,22.5,18,113,128
33.5,23.5,19,112,127
33.5,24.5,20,107,131
33.5,25.5,19,105,123
33.5,26.5,20,102,127
33.5,27.5,20,109,123
33.5,28.5,19,106,124
33.5,29.5,20,93,114
33.5,30.5,19,78,111
33.5,31.5,18,87,105
33.5,32.5,19,71,118
33.5,33.5,20,73,128
33.5,34.5,21,83,134
33.5,35.5,21,74,130
33.5,36.5,21,78,117
33.5,37.5,22,72,119
33.5,38.5,22,67,121
33.5,39.5,20,68,116
33.5,40.5,22,77,119
33.5,41.5,20,65,113
33.5,42.5,22,58,114
33.5,43.5,22,50,117
33.5,44.5,22,45,118
33.5,45.5,22,53,109
33.5,46.5,18,55,96
33.5,47.5,18,62,102
33.5,48.5,21,66,107
33.5,49.5,21,60,123
33.5,50.5,22,64,126
33.5,51.5,22,71,122
33.5,52.5,22,59,121
33.5,53.5,22,60,118
33.5,54.5,23,58,117
33.5,55.5,24,65,117
33.5,56.5,23,51,123
33.5,57.5,23,40,126
33.5,58.5,23,47,118
33.5,59.5,22,58,114
33.5,60.5,24,55,120
33.5,61.5,22,47,113
33.5,62.5,24,51,113
33.5,63.5,23,47,119
33.5,64.5,23,44,126
33.5,65.5,23,47,128
33.5,66.5,23,20,135
33.5,67.5,15,15,129
33.5,68.5,16,20,127
33.5,69.5,18,27,130
33.5,70.5,10,17,120
33.5,71.5,0,11,92
33.5,72.5,7,16,91
33.5,73.5,17,30,102
33.5,74.5,18,34,105
33.5,75.5,12,24,105
33.5,76.5,14,13,117
33.5,77.5,198,6,121
33.5,78.5,240,7,107
33.5,79.5,158,28,134
33.5,80.5,161,27,137
33.5,81.5,187,10,117
33.5,82.5,191,8,118
33.5,83.5,180,8,119
33.5,84.5,233,4,110
33.5,85.5,184,6,114
33.5,86.5,163,14,122
33.5,87.5,158,21,129
33.5,88.5,170,8,116
33.5,89.5,191,4,111
34.5,0.5,16,105,109
34.5,1.5,16,112,120
34.5,2.5,17,113,128
34.5,3.5,17,100,135
34.5,4.5,15,111,121
34.5,5.5,16,116,120
34.5,6.5,18,116,127
34.5,7.5,18,122,127
34.5,8.5,16,123,122
34.5,9.5,14,120,116
34.5,10.5,17,117,128
34.5,11.5,19,116,127
34.5,12.5,19,113,130
34.5,13.5,21,113,133
34.5,14.5,18,119,120
34.5,15.5,15,127,108
34.5,16.5,16,126,123
34.5,17.5,16,118,123
34.5,18.5,14,106,127
34.5,19.5,17,96,132
34.5,20.5,18,108,132
34.5,21.5,20,106,129
34.5,22.5,19,116,131
34.5,23.5,18,122,127
34.5,24.5,20,104,129
34.5,25.5,19,96,130
34.5,26.5,21,93,134
34.5,27.5,22,103,131
34.5,28.5,21,100,132
34.5,29.5,22,84,133
34.5,30.5,20,88,112
34.5,31.5,20,84,115
34.5,32.5,21,70,123
34.5,33.5,22,78,124
34.5,34.5,21,69,124
34.5,35.5,19,65,124
34.5,36.5,21,66,123
34.5,37.5,23,67,124
34.5,38.5,23,59,107
34.5,39.5,21,54,103
34.5,40.5,20,61,120
34.5,41.5,18,58,118
34.5,42.5,21,61,116
34.5,43.5,19,57,115
34.5,44.5,21,55,120
34.5,45.5,21,62,118
34.5,46.5,21,58,113
34.5,47.5,17,51,119
34.5,48.5,19,44,126
34.5,49.5,23,50,121
34.5,50.5,23,71,114
34.5,51.5,23,68,122
34.5,52.5,22,55,124
34.5,53.5,22,58,117
34.5,54.5,23,53,114
34.5,55.5,24,57,116
34.5,56.5,24,48,120
34.5,57.5,24,50,117
34.5,58.5,24,55,120
34.5,59.5,21,57,115
34.5,60.5,20,43,124
34.5,61.5,21,47,119
34.5,62.5,22,47,124
34.5,63.5,21,26,135
34.5,64.5,19,25,132
34.5,65.5,19,29,130
34.5,66.5,8,9,133
34.5,67.5,10,15,132
34.5,68.5,21,28,125
34.5,69.5,21,36,126
34.5,70.5,21,29,123
34.5,71.5,18,17,102
34.5,72.5,15,21,93
34.5,73.5,16,25,99
34.5,74.5,15,43,94
34.5,75.5,19,46,110
34.5,76.5,17,23,130
34.5,77.5,246,9,136
34.5,78.5,226,5,130
34.5,79.5,170,11,133
34.5,80.5,158,21,131
34.5,81.5,162,21,130
34.5,82.5,165,19,131
34.5,83.5,162,21,129
34.5,84.5,170,10,118
34.5,85.5,191,4,109
34.5,86.5,184,6,115
34.5,87.5,155,18,125
34.5,88.5,155,18,126
34.5,89.5,152,10,117
35.5,0.5,17,107,111
35.5,1.5,17,103,118
35.5,2.5,19,94,137
35.5,3.5,19,86,136
35.5,4.5,15,111,117
35.5,5.5,16,115,121
35.5,6.5,18,117,128
35.5,7.5,17,119,122
35.5,8.5,18,124,125
35.5,9.5,16,126,123
35.5,10.5,17,119,128
35.5,11.5,17,107,126
35.5,12.5,19,91,136
35.5,13.5,21,98,134
35.5,14.5,17,111,114
35.5,15.5,17,124,117
35.5,16.5,17,141,121
35.5,17.5,16,126,117
35.5,18.5,14,108,118
35.5,19.5,16,102,117
35.5,20.5,17,104,127
35.5,21.5,20,106,137
35.5,22.5,20,103,135
35.5,23.5,18,111,128
35.5,24.5,18,109,121
35.5,25.5,18,85,116
35.5,26.5,20,87,120
35.5,27.5,21,100,124
35.5,28.5,20,115,117
35.5,29.5,21,94,124
35.5,30.5,22,73,111
35.5,31.5,19,73,100
35.5,32.5,19,81,110
35.5,33.5,21,72,127
35.5,34.5,19,67,125
35.5,35.5,19,70,120
35.5,36.5,19,61,125
35.5,37.5,20,53,119
35.5,38.5,24,45,107
35.5,39.5,22,41,117
35.5,40.5,22,38,127
35.5,41.5,16,31,123
35.5,42.5,15,32,124
35.5,43.5,17,35,123
35.5,44.5,21,47,118
35.5,45.5,21,54,122
35.5,46.5,22,53,124
35.5,47.5,21,46,121
35.5,48.5,22,40,121
35.5,49.5,25,45,111
35.5,50.5,23,57,110
35.5,51.5,21,67,109
35.5,52.5,22,53,123
35.5,53.5,24,40,132
35.5,54.5,23,46,131
35.5,55.5,24,62,115
35.5,56.5,22,45,119
35.5,57.5,23,34,132
35.5,58.5,24,36,133
35.5,59.5,21,56,117
35.5,60.5,18,31,131
35.5,61.5,17,23,129
35.5,62.5,14,17,130
35.5,63.5,6,13,134
35.5,64.5,226,5,133
35.5,65.5,0,7,130
35.5,66.5,233,7,134
35.5,67.5,14,17,134
35.5,68.5,21,26,133
35.5,69.5,21,31,131
35.5,70.5,21,33,121
35.5,71.5,22,35,107
35.5,72.5,22,33,113
35.5,73.5,18,17,105
35.5,74.5,18,44,91
35.5,75.5,21,56,117
35.5,76.5,15,20,135
35.5,77.5,244,7,133
35.5,78.5,191,7,131
35.5,79.5,170,13,128
35.5,80.5,162,21,129
35.5,81.5,160,25,131
35.5,82.5,166,21,131
35.5,83.5,165,17,130
35.5,84.5,162,12,121
35.5,85.5,170,4,109
35.5,86.5,233,4,107
35.5,87.5,184,6,113
35.5,88.5,154,16,124
35.5,89.5,152,10,121
36.5,0.5,17,118,112
36.5,1.5,18,107,112
36.5,2.5,18,100,112
36.5,3.5,17,97,110
36.5,4.5,17,97,107
36.5,5.5,16,105,109
36.5,6.5,17,97,115
36.5,7.5,18,105,118
36.5,8.5,18,114,116
36.5,9.5,17,112,125
36.5,10.5,18,101,131
36.5,11.5,20,83,135
36.5,12.5,20,80,127
36.5,13.5,21,79,122
36.5,14.5,18,107,116
36.5,15.5,19,108,124
36.5,16.5,19,111,123
36.5,17.5,19,121,126
36.5,18.5,17,121,115
36.5,19.5,15,112,113
36.5,20.5,17,105,130
36.5,21.5,20,97,138
36.5,22.5,21,96,137
36.5,23.5,20,94,129
36.5,24.5,19,106,124
36.5,25.5,18,99,120
36.5,26.5,18,102,114
36.5,27.5,19,112,111
36.5,28.5,18,103,116
36.5,29.5,19,85,122
36.5,30.5,20,69,128
36.5,31.5,20,65,113
36.5,32.5,18,65,109
36.5,33.5,19,60,118
36.5,34.5,19,60,119
36.5,35.5,18,62,111
36.5,36.5,21,55,119
36.5,37.5,24,54,113
36.5,38.5,23,47,107
36.5,39.5,19,33,115
36.5,40.5,19,32,119
36.5,41.5,19,31,122
36.5,42.5,9,18,126
36.5,43.5,12,20,125
36.5,44.5,19,27,122
36.5,45.5,21,23,130
36.5,46.5,19,28,134
36.5,47.5,16,18,136
36.5,48.5,22,33,128
36.5,49.5,24,48,110
36.5,50.5,24,51,118
36.5,51.5,22,45,119
36.5,52.5,21,40,127
36.5,53.5,23,41,134
36.5,54.5,24,63,125
36.5,55.5,22,57,111
36.5,56.5,22,42,115
36.5,57.5,23,40,125
36.5,58.5,19,32,133
36.5,59.5,21,45,122
36.5,60.5,15,31,130
